Instance,Time,Cost,FacilityState,CustomerState
33,28.000000,32692,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 19 3 19 6 4 10 24 18 11 17 2 9 4 20 15 8 30 6 4 22 11 4 13 9 20 25 10 27 23 26 11 28 21 29 25 16 24 3 26 9 16 11 10 15 24 2 28 29 24 2 15 6 19 17 3 24 5 15 1 25 21 28 6 26 23 12 11 27 19 7 26 8 16 29 27 21 24 23 17 8 17 18 5 8 26 5 21 22 20 16 5 28 5 23 3 11 22 11 19 5 15 26 20 30 5 28 2 29 15 2 3 12 26 11 25 16 25 25 6 19 28 14 19 24 28 27 5 13 1 22 10 11 2 9 22 30 9 18 12 2 21 15 9 22 26 6 3 26 
34,31.000000,38036,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 19 29 19 6 11 10 11 1 27 17 19 21 11 29 15 3 23 12 4 4 13 4 27 9 20 10 10 27 23 30 11 23 21 14 16 16 24 9 8 29 16 11 16 15 13 7 28 29 27 2 9 6 7 14 15 27 5 9 1 10 21 23 12 8 23 1 11 27 19 7 26 3 16 29 27 21 11 23 7 8 7 1 4 18 20 5 21 23 20 16 20 5 20 16 29 11 22 11 11 4 15 30 20 30 4 28 17 29 15 2 3 12 26 13 25 16 25 10 8 11 30 14 19 24 10 27 5 13 1 22 10 13 19 9 4 23 21 18 8 17 14 9 9 23 26 25 3 20 
35,32.000000,26747,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,14 28 7 3 17 6 4 10 2 18 27 17 17 21 4 9 18 18 28 12 4 4 27 4 27 21 20 25 10 27 22 26 7 28 21 21 25 16 24 3 18 9 16 11 16 15 13 14 28 29 22 2 15 6 7 21 3 22 5 15 1 6 21 28 12 12 23 1 13 27 17 7 12 8 16 29 27 21 2 23 14 8 14 18 4 18 3 5 21 22 20 16 8 8 8 22 3 11 22 17 17 8 18 26 20 30 4 8 29 29 15 2 3 12 12 13 25 16 6 25 6 17 28 14 19 24 10 27 8 13 1 22 16 13 17 9 4 22 21 18 1 29 21 15 9 5 26 6 3 25 
36,32.000000,35834,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 26 19 3 19 6 24 10 2 18 13 17 17 21 4 29 18 18 30 12 4 5 13 4 27 9 20 25 6 27 23 6 11 30 21 14 25 10 24 9 18 29 16 11 10 15 13 14 28 29 27 2 9 6 17 14 18 24 5 9 1 6 21 28 1 1 23 1 13 27 17 7 6 8 10 29 27 21 2 23 7 8 17 18 5 18 8 5 21 22 20 10 20 28 8 23 20 11 22 11 2 8 18 26 20 30 5 8 2 29 15 2 3 12 26 13 25 10 25 25 6 19 6 14 19 24 6 27 5 13 1 22 25 11 2 9 4 30 14 18 1 17 21 18 9 5 26 6 8 25 
37,31.000000,24500,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 26 7 3 7 6 17 10 17 1 11 17 17 21 4 9 18 1 30 12 29 5 13 4 2 9 20 25 10 23 22 26 7 28 21 14 25 16 24 15 12 9 16 11 10 15 2 14 28 29 24 17 15 6 7 14 3 24 28 15 1 6 21 28 12 26 23 1 11 22 17 7 6 8 16 14 27 21 2 23 14 8 7 18 20 18 8 5 21 30 3 16 20 28 8 22 3 11 22 19 19 20 18 26 20 30 5 26 29 29 15 2 3 12 26 11 25 16 6 25 6 19 26 14 19 24 6 27 8 13 1 28 25 11 17 9 4 30 14 18 12 14 14 15 9 30 26 6 3 6 
38,27.000000,24205,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 ,7 26 19 3 19 6 2 10 2 18 13 17 17 9 4 29 3 18 30 12 17 5 13 4 2 29 20 25 10 23 22 26 11 30 21 9 25 23 24 3 18 3 16 11 10 15 2 17 28 29 23 2 15 6 19 7 3 24 5 15 1 6 21 28 1 12 23 1 11 24 17 7 12 8 10 29 23 21 2 23 7 8 17 18 4 18 3 5 21 22 20 10 5 28 8 23 20 11 22 11 19 5 18 26 20 30 5 12 29 29 15 2 3 12 26 2 25 16 6 25 12 19 26 14 19 24 30 23 5 13 1 22 10 11 19 15 4 30 14 18 18 17 14 18 9 5 26 6 3 26 
39,27.000000,37659,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 19 3 19 6 24 10 13 1 13 17 17 9 24 29 8 1 23 12 17 22 13 4 13 9 20 25 10 27 24 26 11 30 21 9 25 16 24 3 1 9 16 11 10 15 13 14 28 29 13 2 15 6 7 14 3 13 22 15 1 25 21 28 12 8 23 1 13 27 7 7 12 8 16 9 27 21 13 23 7 8 7 18 4 18 8 5 21 23 20 16 4 28 5 27 20 11 22 11 13 5 18 8 20 30 4 28 29 29 15 2 3 12 26 13 25 16 25 10 12 19 28 14 19 24 10 27 22 13 1 22 10 13 17 9 24 23 9 18 1 17 9 8 9 22 26 6 8 11 
40,31.000000,38618,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 7 9 7 6 17 10 19 18 13 17 17 21 2 9 3 18 30 12 4 4 13 4 13 21 20 10 10 27 10 26 19 30 21 14 25 16 24 9 18 9 16 11 10 15 19 14 28 29 13 2 9 6 7 14 3 19 30 21 1 25 21 30 1 12 23 1 11 27 17 7 6 8 16 7 27 21 2 10 7 8 7 18 4 18 8 5 21 10 8 16 8 28 26 23 9 11 22 11 19 30 18 26 20 30 5 26 29 29 15 2 3 12 26 13 25 16 25 10 6 19 30 14 19 2 10 27 30 13 1 22 10 11 17 9 4 10 21 18 1 17 14 15 9 30 26 25 3 10 
41,7.000000,7559,1 1 1 1 1 1 1 1 1 1 ,6 7 5 2 8 10 4 8 9 9 6 10 3 10 3 8 8 4 9 7 7 2 5 2 6 6 6 5 6 6 9 1 1 1 4 10 3 7 2 10 3 8 4 4 4 6 9 6 6 2 2 2 7 6 8 8 8 9 9 9 1 1 2 6 1 7 7 7 6 5 1 1 5 1 8 8 3 3 3 6 6 3 10 8 10 8 10 10 10 4 
42,9.000000,11290,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 ,3 15 4 10 1 13 2 3 18 8 12 9 11 15 1 8 17 3 6 15 6 10 10 10 13 13 5 18 18 14 8 20 7 6 15 11 11 8 8 8 2 3 3 17 10 6 9 19 2 1 2 18 8 14 18 6 3 15 15 6 13 12 5 4 12 3 2 8 20 7 11 13 20 19 20 9 13 11 17 19 
