Instance,Time,Cost,FacilityState,CustomerState
33,81.000000,15514,1 0 1 0 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 1 ,9 26 21 3 9 6 3 25 15 18 6 9 21 9 3 29 15 18 6 12 20 5 6 18 1 21 20 6 6 25 12 6 29 26 21 21 25 26 8 15 1 9 6 3 6 15 5 21 12 29 6 3 15 6 21 9 18 12 1 15 1 6 21 18 12 12 25 1 30 25 9 21 12 18 6 21 25 21 20 25 21 8 21 18 18 18 3 8 21 26 1 25 18 12 1 25 18 18 12 21 29 18 15 12 20 30 18 26 15 29 15 3 3 12 12 5 25 25 6 25 6 21 26 21 9 18 6 25 12 26 1 1 25 5 29 15 18 26 21 18 1 9 21 15 9 30 12 6 3 6 
34,94.000000,13780,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 ,14 26 21 3 21 6 3 10 9 18 10 14 29 21 18 9 15 18 26 12 3 1 6 18 6 9 3 25 6 26 6 26 14 28 21 21 6 10 18 15 1 15 25 9 25 15 18 14 12 29 12 9 15 6 9 21 18 12 12 15 1 25 21 1 12 12 25 1 25 6 9 21 12 18 25 9 6 21 29 25 21 1 29 18 1 18 3 1 21 6 18 25 18 1 1 10 3 3 26 9 29 8 18 1 3 26 1 12 15 9 15 29 1 12 12 28 25 25 6 25 6 9 26 21 14 18 6 25 1 26 1 12 10 8 9 15 18 25 21 1 18 9 21 15 9 26 12 26 18 6 
35,103.000000,15602,1 0 1 0 0 1 0 1 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 ,21 12 9 3 9 6 3 25 9 18 25 9 9 21 3 15 1 18 6 12 15 1 1 3 10 21 15 25 6 10 6 26 21 28 21 9 25 10 1 15 1 9 25 9 25 15 12 21 26 9 28 15 15 6 21 21 18 28 12 15 1 25 21 28 12 12 25 1 25 6 9 9 12 18 25 9 10 21 18 10 21 1 9 18 3 18 18 8 21 6 18 10 18 26 18 25 3 28 26 21 9 8 18 1 3 28 8 12 15 9 15 15 18 12 12 28 25 25 6 6 6 21 6 21 9 1 6 25 3 28 1 8 25 26 9 15 3 26 21 18 1 9 21 15 9 26 26 26 3 6 
36,99.000000,19332,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 ,14 12 9 15 14 6 20 10 15 18 25 29 29 21 20 15 15 18 26 12 20 1 10 18 6 9 20 25 6 25 1 26 14 6 21 21 25 6 6 15 1 15 10 9 25 15 8 21 8 15 12 29 15 6 29 21 18 8 8 15 1 6 21 12 12 12 10 1 6 25 9 21 6 18 25 9 25 21 1 25 14 8 14 18 18 18 1 8 21 26 18 25 20 1 18 10 15 12 26 14 9 18 1 26 3 6 18 12 15 29 15 15 3 12 12 6 6 25 25 25 6 9 26 21 21 1 26 10 1 26 1 12 25 6 29 15 18 6 21 18 1 9 21 15 9 26 26 6 3 6 
37,105.000000,16229,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 ,21 12 21 3 21 6 20 25 15 18 25 21 29 21 3 15 18 18 6 12 3 8 10 3 6 9 20 25 6 25 28 26 21 12 9 21 6 6 1 15 18 15 25 29 10 15 8 14 26 9 6 29 15 6 14 21 3 26 1 15 1 25 21 12 12 12 25 1 25 10 21 21 12 18 25 21 25 21 15 25 21 8 21 18 18 18 18 8 21 1 18 25 1 12 1 10 15 15 26 15 21 18 18 26 3 26 1 12 9 29 15 15 3 12 12 1 25 25 25 25 12 29 12 14 29 8 6 25 12 26 18 28 25 6 29 15 18 26 21 18 1 9 21 15 9 28 26 6 18 6 
38,94.000000,13553,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 ,21 12 14 18 9 6 3 10 3 18 25 17 9 21 18 15 18 18 6 12 3 18 26 18 30 21 1 25 6 25 12 26 14 30 21 9 25 25 1 3 18 15 10 9 25 15 8 14 12 15 26 3 15 6 14 21 3 18 12 15 1 6 21 12 1 12 25 1 18 10 14 21 12 18 6 9 10 21 15 25 14 12 21 18 8 18 18 8 21 26 3 25 18 12 1 25 3 18 12 17 9 18 18 12 3 26 12 1 15 9 15 3 3 12 26 6 25 25 6 25 6 17 12 14 17 18 6 25 18 26 18 6 25 26 9 15 6 30 21 18 1 21 21 15 9 1 12 6 3 6 
39,96.000000,17061,1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 ,14 12 14 15 29 6 8 10 29 18 25 9 21 21 18 15 18 18 8 12 15 8 6 18 6 9 3 25 6 25 25 12 14 6 21 21 25 25 5 3 1 15 25 29 25 15 5 14 1 29 6 9 15 6 21 21 18 12 8 15 1 6 21 8 12 12 25 1 6 30 29 14 6 18 25 9 25 21 15 25 21 8 21 1 18 18 18 5 21 30 3 6 1 12 1 10 18 1 30 21 9 18 15 18 8 30 15 1 15 9 15 29 3 1 12 6 25 25 25 25 6 9 12 14 9 8 6 10 1 30 1 5 25 12 21 9 5 30 14 18 1 21 21 15 15 12 12 6 18 25 
40,103.000000,18592,1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 ,29 12 29 18 21 6 3 25 15 18 25 9 21 21 18 3 15 18 30 12 15 12 8 8 6 9 3 25 12 6 6 26 21 12 21 9 6 25 1 15 1 15 25 9 6 15 12 9 1 29 30 29 18 6 21 15 18 26 18 15 1 6 21 12 12 12 6 1 25 25 21 21 12 1 25 9 6 21 15 25 21 1 21 18 8 18 3 12 21 26 18 25 1 12 1 6 15 3 30 21 9 18 15 12 3 30 18 1 15 29 15 15 3 12 12 12 25 25 25 25 6 29 26 21 21 12 12 6 12 26 1 1 25 30 29 15 12 26 21 18 1 9 21 15 9 26 26 6 1 6 
41,6.000000,6947,1 1 1 0 1 1 1 1 1 1 ,6 7 5 2 8 10 8 8 9 9 5 10 3 7 3 8 8 8 1 7 7 2 5 2 7 6 6 5 6 6 9 1 1 1 8 3 3 7 7 10 3 8 8 8 9 6 1 6 7 5 2 2 7 7 10 8 3 6 9 9 1 1 2 6 1 7 7 7 5 5 1 5 5 1 8 8 3 3 7 6 8 3 3 8 10 10 10 10 10 3 
42,11.000000,7380,0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 0 1 0 1 1 ,13 11 12 6 20 19 17 4 17 17 12 19 7 11 7 20 17 3 15 15 6 12 6 12 13 13 12 17 3 4 17 20 7 15 15 11 11 20 17 17 17 4 4 17 12 6 19 20 19 20 17 3 17 4 3 6 3 15 15 15 12 12 4 4 12 4 17 19 20 7 11 19 20 20 20 19 19 20 20 20 
43,8.000000,7497,1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 1 ,28 1 16 29 26 10 27 13 29 30 24 24 26 10 12 12 16 16 13 8 26 27 1 1 10 26 30 12 30 30 30 24 24 26 1 10 8 13 16 12 28 13 29 24 29 26 27 10 10 12 16 1 10 13 13 12 1 1 24 30 30 28 8 30 28 29 28 28 28 30 
44,6.000000,7502,1 1 1 1 1 1 1 1 0 1 ,5 5 5 5 5 5 5 5 1 1 1 1 7 1 1 1 8 2 2 8 7 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 1 2 8 3 10 8 6 10 8 8 7 6 6 10 2 8 8 10 6 6 6 10 4 1 7 7 3 2 6 5 10 10 8 8 2 7 7 6 2 8 10 10 10 10 8 7 6 8 6 
